Student_ID,College,College_Tier,Department,CGPA,Gender,Program_Type,Attendance_%,Sessions_Attended,Sessions_Missed,Weekly_Consistency_Score,Login_Frequency,Time_Spent_Hours,Active_Days_Per_Week,Session_Duration_Avg,Videos_Watched,Video_Completion_%,Rewatch_Rate,Notes_Taken,Quizzes_Attempted,Quiz_Submission_Rate,Avg_Quiz_Score,Assignment_Submissions,On_Time_Submission_%,Doubts_Raised,Doubts_Resolved,Doubt_Response_Time,Peer_Discussion_Count,Hackathons_Attended,Workshops_Attended,Live_Sessions_Joined,Project_Demo_Events,Skills_Learned_Count,Domain_Transition,Project_Completion_Rate,Engagement_Score,Placement_Status,Job_Inquiries,Leads_Generated
ST_0001,PESCE,2,CSE,7.78,Female,B.E,64.5,51,29,5.3,4,17.9,3,57.0,39,96.0,0.28,No,4,40.3,42.7,1,65.0,2,1,0.8,4,1,7,9,0,5,Tech→AI,57.0,100.0,Placed,4,3
ST_0002,SJCE,3,CSE-AI,7.24,Male,B.E,50.6,40,40,6.2,7,12.8,5,24.0,45,91.3,0.2,Yes,2,70.8,79.1,9,73.1,6,4,6.4,15,2,3,10,1,11,No,41.6,100.0,Not Placed,0,0
ST_0003,BMSCE,2,CSE-AI,7.79,Female,B.E,50.8,40,40,5.3,2,15.2,3,46.0,35,46.0,0.28,Yes,6,73.4,56.3,6,54.8,3,1,5.5,3,3,2,9,1,1,No,55.9,100.0,Not Placed,0,0
ST_0004,SJCE,3,Civil,7.14,Female,M.Tech,80.3,64,16,8.1,6,12.6,3,59.0,36,92.0,0.27,Yes,5,86.9,33.6,8,28.5,5,4,0.5,18,1,3,13,0,5,Non-tech→Tech,73.6,100.0,Not Placed,0,0
ST_0005,SJCE,3,ECE,7.26,Male,B.Tech,50.9,40,40,5.6,2,3.5,1,44.0,58,82.4,0.38,Yes,0,0.0,40.6,10,44.1,4,3,2.3,17,0,1,14,1,13,Same,69.0,100.0,Not Placed,0,0
ST_0006,MSRIT,1,ECE,5.6,Female,B.E,92.0,73,7,8.7,7,22.6,2,56.0,76,96.2,0.41,No,18,74.7,61.9,14,29.0,2,1,3.0,1,0,7,6,1,13,No,69.3,100.0,Placed,1,4
ST_0007,BMSCE,2,CSE-AI,7.93,Female,B.Tech,81.4,65,15,7.3,4,21.3,7,41.0,63,92.2,0.12,Yes,6,63.3,63.9,11,87.5,4,3,1.7,12,0,6,12,1,3,Tech→AI,48.8,100.0,Placed,1,2
ST_0008,BMSCE,2,Civil,7.48,Female,B.E,86.0,68,12,6.8,6,28.9,1,48.0,45,85.9,0.61,Yes,3,76.0,71.8,8,65.9,5,4,0.5,15,3,2,10,0,1,Tech→AI,70.4,100.0,Not Placed,0,0
ST_0009,BMSCE,2,ME,8.0,Male,B.Tech,92.2,73,7,9.4,4,31.0,7,52.0,70,97.0,0.33,No,11,90.5,71.8,6,50.5,3,1,2.3,7,1,7,6,1,3,No,58.6,100.0,Not Placed,0,0
ST_0010,SJCE,3,ECE,5.0,Female,B.Tech,74.1,59,21,6.6,5,6.8,6,36.0,58,58.3,0.41,Yes,19,52.7,78.2,10,95.7,3,2,9.4,18,0,2,10,2,5,Tech→AI,63.1,100.0,Not Placed,0,0
ST_0011,PESCE,2,ME,8.87,Female,B.E,61.4,49,31,6.1,3,12.7,6,75.0,44,26.9,0.46,Yes,17,64.4,48.2,7,39.6,5,4,2.7,2,3,3,13,2,5,Same,70.0,100.0,Placed,6,3
ST_0012,BMSCE,2,ECE,7.09,Female,B.E,50.2,40,40,3.9,2,32.6,5,54.0,32,63.9,0.18,Yes,8,93.5,94.9,9,78.8,0,0,2.3,18,0,2,16,2,10,Tech→AI,38.4,100.0,Placed,5,2
ST_0013,NMIT,3,ECE,8.09,Male,B.E,76.9,61,19,7.1,7,14.7,3,65.0,41,46.8,0.44,No,18,82.3,96.5,2,42.8,4,2,17.1,16,1,0,15,1,12,No,89.2,100.0,Placed,2,3
ST_0014,SJCE,3,ISE,6.37,Female,B.E,56.0,44,36,5.6,7,16.7,4,61.0,69,89.9,0.13,Yes,3,55.2,52.6,0,74.9,4,2,0.5,8,3,4,0,0,8,Tech→AI,85.3,100.0,Placed,4,2
ST_0015,MSRIT,1,ECE,7.69,Male,B.Tech,52.7,42,38,3.9,6,4.4,4,50.0,78,64.5,0.06,No,0,0.0,47.7,6,51.2,4,3,8.7,16,1,5,8,2,11,Tech→AI,85.8,100.0,Placed,1,1
ST_0016,PESCE,2,CSE,6.36,Male,B.E,54.4,43,37,3.5,5,16.1,7,66.0,59,76.6,0.16,Yes,8,67.9,29.9,7,54.1,4,3,4.0,0,0,4,8,0,1,No,52.2,100.0,Not Placed,0,0
ST_0017,NMIT,3,Civil,6.7,Male,B.E,80.0,64,16,7.2,6,28.5,3,48.0,8,92.9,0.11,No,14,74.3,65.1,1,73.5,2,1,17.3,3,1,7,9,2,7,No,61.7,100.0,Placed,4,3
ST_0018,NMIT,3,Civil,8.73,Male,B.Tech,67.6,54,26,7.1,2,24.0,7,34.0,14,83.6,0.19,Yes,7,53.1,70.1,14,88.0,5,1,3.0,14,2,6,18,2,5,No,58.3,100.0,Placed,2,3
ST_0019,MSRIT,1,ME,7.05,Male,M.Tech,67.0,53,27,6.1,4,10.7,1,45.0,51,70.7,0.43,Yes,14,81.4,51.6,8,71.5,4,3,7.4,11,1,5,14,1,3,No,57.7,100.0,Placed,7,2
ST_0020,PESCE,2,ECE,7.37,Male,B.E,52.7,42,38,4.1,4,12.2,2,30.0,79,60.8,0.27,Yes,14,84.5,67.1,3,68.1,1,0,0.5,16,0,3,15,0,4,No,70.5,100.0,Placed,7,4
ST_0021,SJCE,3,CSE,7.9,Female,B.E,60.6,48,32,6.3,5,7.1,1,13.0,18,29.9,0.03,Yes,17,77.7,37.0,9,35.8,1,0,15.9,11,0,7,10,3,3,Non-tech→Tech,72.2,100.0,Placed,5,3
ST_0022,RVCE,1,ME,7.6,Male,B.E,83.1,66,14,5.3,4,9.0,3,32.0,42,47.7,0.57,Yes,6,57.5,79.4,10,68.2,5,2,2.5,15,2,1,16,2,8,Non-tech→Tech,91.1,100.0,Not Placed,0,0
ST_0023,PESCE,2,ISE,7.32,Female,B.E,43.8,35,45,4.4,2,1.6,3,46.0,16,88.8,0.21,Yes,17,73.6,52.4,8,51.7,5,3,4.5,12,1,1,18,2,4,Same,41.3,100.0,Placed,7,2
ST_0024,MSRIT,1,ME,7.49,Female,M.Tech,79.7,63,17,5.4,5,14.4,2,61.0,49,66.9,0.26,Yes,15,76.0,67.2,12,80.6,4,2,0.9,10,2,3,12,0,3,Tech→AI,84.2,100.0,Placed,6,3
ST_0025,NMIT,3,ME,9.12,Male,B.E,89.2,71,9,6.1,6,25.6,7,32.0,21,65.4,0.43,No,1,83.2,65.8,2,84.7,2,1,17.5,14,2,6,5,1,2,Same,81.2,100.0,Placed,5,2
ST_0026,SJCE,3,ECE,7.15,Female,B.E,79.0,63,17,5.5,4,17.5,5,60.0,39,75.4,0.71,Yes,3,82.9,26.7,7,95.6,6,5,6.7,15,1,3,14,0,3,Tech→AI,92.4,100.0,Placed,2,2
ST_0027,PESCE,2,ISE,7.36,Female,B.E,57.4,45,35,5.0,2,24.6,5,27.0,70,82.7,0.2,Yes,19,53.9,77.0,10,67.7,4,3,0.5,5,4,2,15,1,7,No,81.5,100.0,Placed,2,4
ST_0028,RVCE,1,ME,8.04,Female,B.E,77.3,61,19,4.8,3,22.5,2,31.0,79,84.3,0.55,No,15,69.3,47.9,1,81.7,1,0,1.0,10,0,1,3,1,6,Non-tech→Tech,65.9,100.0,Placed,7,2
ST_0029,RVCE,1,CSE,8.08,Female,B.Tech,58.0,46,34,5.1,3,11.2,5,67.0,45,89.9,0.19,No,2,71.0,65.6,14,43.7,6,5,3.1,14,0,7,7,2,10,Same,50.3,100.0,Placed,3,2
ST_0030,BMSCE,2,CSE,8.15,Male,B.Tech,65.8,52,28,6.0,3,9.7,4,46.0,71,86.9,0.46,Yes,1,72.5,36.6,13,59.5,6,3,1.5,4,2,4,6,0,12,No,53.0,100.0,Placed,1,2
ST_0031,BMSCE,2,Civil,7.71,Female,B.E,73.6,58,22,6.3,5,10.0,5,42.0,33,16.4,0.39,Yes,2,52.7,53.4,2,52.5,5,2,2.2,2,0,3,16,1,13,No,59.8,100.0,Placed,3,1
ST_0032,MSRIT,1,ISE,6.29,Male,B.E,74.0,59,21,6.0,5,3.0,5,49.0,22,79.6,0.2,No,4,75.4,68.5,0,78.1,5,3,35.9,1,2,6,15,0,5,Non-tech→Tech,56.0,100.0,Not Placed,0,0
ST_0033,PESCE,2,ISE,8.51,Female,B.E,80.5,64,16,8.2,5,15.2,5,27.0,24,69.4,0.35,Yes,1,78.3,42.6,4,67.7,6,2,6.4,0,5,7,1,1,8,Non-tech→Tech,58.2,100.0,Placed,2,1
ST_0034,PESCE,2,Civil,6.28,Female,M.Tech,61.8,49,31,4.3,4,1.0,4,40.0,18,65.7,0.54,No,18,54.2,43.6,3,88.2,3,2,15.3,14,3,6,16,3,11,Non-tech→Tech,78.0,100.0,Placed,3,2
ST_0035,NMIT,3,ME,7.44,Male,B.Tech,57.4,45,35,5.5,6,19.1,7,45.0,38,82.9,0.42,Yes,19,63.3,64.3,12,59.3,5,2,3.4,1,1,4,3,2,1,No,83.1,100.0,Placed,1,4
ST_0036,NMIT,3,ISE,6.6,Female,B.E,89.4,71,9,5.6,3,15.5,5,63.0,53,69.4,0.43,No,1,46.1,59.0,0,93.3,2,1,7.4,19,3,5,13,1,3,No,72.4,100.0,Placed,1,4
ST_0037,NMIT,3,CSE,7.15,Female,B.Tech,77.3,61,19,4.9,4,18.3,6,20.0,58,84.7,0.3,Yes,1,76.6,68.3,9,57.4,6,5,3.7,5,0,4,7,0,2,Tech→AI,47.7,100.0,Placed,2,3
ST_0038,BMSCE,2,CSE,7.46,Female,B.Tech,85.7,68,12,7.4,6,22.4,4,71.0,35,86.8,0.23,No,19,44.1,55.4,8,90.0,4,3,2.4,11,1,6,4,1,2,Non-tech→Tech,85.0,100.0,Not Placed,0,0
ST_0039,PESCE,2,ECE,7.46,Male,B.E,86.3,69,11,7.4,3,16.4,2,43.0,62,50.5,0.42,Yes,17,69.9,73.5,5,76.5,7,2,4.4,15,1,1,4,0,12,Tech→AI,82.4,100.0,Placed,3,4
ST_0040,PESCE,2,ISE,7.54,Female,M.Tech,45.8,36,44,6.3,2,26.4,1,28.0,46,47.9,0.51,No,19,81.7,51.8,5,28.5,9,5,3.3,13,1,5,4,1,11,Tech→AI,48.7,100.0,Placed,5,4
ST_0041,RVCE,1,ME,8.49,Male,B.E,86.0,68,12,7.4,6,19.4,2,26.0,62,47.0,0.04,Yes,13,37.7,72.7,13,85.5,0,0,23.6,3,0,7,4,0,12,Tech→AI,82.3,100.0,Not Placed,0,0
ST_0042,BMSCE,2,Civil,7.56,Female,B.E,71.0,56,24,8.1,4,9.7,1,49.0,34,97.3,0.22,Yes,14,40.5,45.7,10,78.0,2,0,4.1,7,3,4,2,2,1,No,76.4,100.0,Placed,7,3
ST_0043,SJCE,3,Civil,7.0,Male,B.E,91.3,73,7,5.7,5,13.3,2,25.0,29,95.7,0.44,No,11,65.9,51.0,1,62.1,6,4,10.0,11,2,2,5,0,5,Tech→AI,88.0,100.0,Placed,4,1
ST_0044,BMSCE,2,ME,7.97,Male,B.E,61.4,49,31,4.1,1,1.0,6,37.0,67,62.0,0.21,Yes,10,70.3,75.2,14,23.3,5,2,6.6,13,2,2,0,0,5,No,92.9,100.0,Placed,3,4
ST_0045,SJCE,3,CSE-AI,8.15,Female,B.E,99.2,79,1,6.1,5,8.7,1,41.0,23,62.2,0.36,No,10,79.6,52.7,13,91.3,3,2,3.9,19,0,1,7,1,3,Non-tech→Tech,80.3,100.0,Placed,3,4
